dyad,age_1,age_2,closeness_1,closeness_2,d_other_1,d_other_2,d_self_1,d_self_2,p_other_1,p_other_2,p_self_1,p_self_2,pes_1,pes_2,sex_1,sex_2,gender_comp
128,3,1,4,4,2,1,2.2,1,3.8,5,4,3.6,4.22222222222222,2.33333333333333,2,2,same-gender female
129,3,2,3,4,2.4,1.8,2.6,3,3.2,4.4,3.8,3,4.22222222222222,3.44444444444444,1,2,mixed
130,3,2,4,4,1.8,1.6,1.2,1.2,5,5.4,3.8,3.6,2.88888888888889,3.33333333333333,1,2,mixed
131,,3,4,4,1.2,1.2,1.2,1.2,4.2,4.4,2.5,4,1.77777777777778,2.44444444444444,2,2,same-gender female
132,3,3,5,5,2.4,1.4,1.8,1.6,5.4,5,5.2,5.2,3.77777777777778,4.88888888888889,2,2,same-gender female
133,1,1,5,4,3,3.8,2,2.2,3.6,2.4,3.4,2.4,3.55555555555556,3.88888888888889,2,2,same-gender female
134,,,,,1.4,1.2,1.4,2.2,3.8,4,3.2,2.8,2.88888888888889,2.22222222222222,,,
135,3,3,5,4,2.2,1.6,2,1.4,2.6,4.2,3.8,3.4,2.55555555555556,4.66666666666667,2,2,same-gender female
136,3,3,5,4,1.2,1.8,1.8,1.4,4.2,3,2.8,3.6,2.11111111111111,1.22222222222222,1,2,mixed
137,3,3,5,5,2.8,2.8,2.6,3,3.6,4.4,3.6,4.2,3.44444444444444,2.55555555555556,2,1,mixed
138,1,3,5,5,2.2,1,1.6,2,4.6,3.4,3.4,4,3.66666666666667,3.66666666666667,2,2,same-gender female
139,1,1,4,4,3.4,1.8,3,2.6,3.2,3.4,4.2,3.2,2.77777777777778,2.55555555555556,2,2,same-gender female
140,3,3,5,5,1.2,1.6,1.4,1.6,5,4.8,3.8,2.8,1.88888888888889,4,,2,
141,3,3,5,5,2.8,3.6,2.4,2.2,3.6,4.4,3,3.2,2.77777777777778,3.44444444444444,2,2,same-gender female
142,,3,5,5,1.6,3,2.2,2.6,3.8,3.4,3.6,2,2.77777777777778,3,,1,
143,2,2,5,5,1.4,1.8,1.2,1.6,3.2,4.6,3,3.4,2.44444444444444,2.66666666666667,1,1,same-gender male
144,,3,,5,2.4,1.8,2.4,2,4,3.8,3.4,3.6,3.22222222222222,4.22222222222222,,1,
145,3,2,4,5,1.2,2,1.6,4,3,4,3.4,4,3.66666666666667,4.22222222222222,2,2,same-gender female
146,3,3,5,5,1.4,1.4,1.8,1.8,4.4,4,4.4,3.8,3.11111111111111,2.22222222222222,2,1,mixed
147,3,3,4,5,1.8,2.4,2.6,2.2,4.2,4.6,4,3.4,4,2.55555555555556,2,2,same-gender female
148,1,1,4,4,2.2,1.6,2.2,2.8,4,2.8,3.8,2.8,4.55555555555556,2.55555555555556,2,2,same-gender female
149,3,3,4,4,4,2.6,2.8,2.6,4,3.8,4.6,3.6,3.77777777777778,2,1,2,mixed
150,3,3,2,3,1.4,1.4,2.4,1.6,3.2,3.6,2.6,3.4,3.11111111111111,2.33333333333333,1,2,mixed
151,1,1,4,4,2.4,2.6,2.6,3.8,2.8,3.2,2.6,3,3.33333333333333,2.22222222222222,2,1,mixed
153,1,1,4,4,2.6,1.6,2,1.8,3.2,2.6,2.4,3,1.55555555555556,1.33333333333333,2,2,same-gender female
154,1,2,4,4,1.8,2.6,2.2,2.6,3.4,4.6,3.6,4,2.44444444444444,3.44444444444444,2,1,mixed
155,3,2,5,4,2.2,1.2,2.2,1.4,4.8,3,4.4,3,2.88888888888889,2.77777777777778,1,1,same-gender male
156,3,3,5,5,1.6,1.6,2.2,2.2,3.6,3.2,2.8,3.4,3.11111111111111,1.88888888888889,2,1,mixed
157,3,3,5,5,2.6,2,1.8,2,3.6,3.2,2.8,3,2.44444444444444,4,1,1,same-gender male
158,3,3,5,5,3.2,3.2,3.6,2.8,3.6,4.4,3.6,2.8,3,3.55555555555556,2,2,same-gender female
159,1,1,4,5,2.2,1.6,2.2,2.6,4.4,3.6,2.8,3.8,3,3.33333333333333,2,1,mixed
160,2,1,4,4,1.6,1.4,1.6,1.8,4.8,3.6,2.8,4,2.77777777777778,3.66666666666667,2,2,same-gender female
161,2,2,5,5,2.6,3.2,2.8,2.8,3.6,3.2,4,3.8,3,4.11111111111111,1,1,same-gender male
162,2,2,4,4,2.2,2.2,1.8,1.8,3,5.4,4.2,3.6,2.66666666666667,3.88888888888889,2,2,same-gender female
163,3,2,4,3,1.6,2,1.6,2.4,2.8,4.8,3,3.6,1.88888888888889,4.33333333333333,1,2,mixed
164,1,1,2,3,2,1.8,2.2,2.6,3.8,3.8,3.2,3.8,3.22222222222222,3.44444444444444,2,1,mixed
165,1,2,3,4,1.8,1.6,2.4,2,3.2,5.2,3.4,4.4,1.22222222222222,3.88888888888889,2,1,mixed
166,3,2,3,3,1.2,1,2,2.2,4.4,3.8,3.4,3.6,1.77777777777778,2.66666666666667,2,2,same-gender female
167,1,1,4,5,2.4,1.6,3,1.8,4.2,4.2,4.4,3.6,5.33333333333333,3.55555555555556,1,2,mixed
168,1,1,3,4,1.6,1.6,2.6,2,4,4.2,3.2,2.6,2.77777777777778,1.55555555555556,2,2,same-gender female
169,1,1,3,4,1,2.8,1.4,1.6,3.4,4,2.6,2.8,3,2,2,2,same-gender female
170,1,1,4,3,2,2.2,1.6,2.4,4.6,3.2,3.4,3.6,3.11111111111111,1.88888888888889,2,2,same-gender female
171,1,2,4,4,2,1.4,1.4,1.6,5.2,3.6,4.6,2.6,2.77777777777778,2.33333333333333,2,2,same-gender female
172,2,2,4,4,2.2,2.2,2.4,2,3.4,4.4,3,3.4,2.55555555555556,3.33333333333333,1,2,mixed
173,3,1,4,4,1,2.4,2.6,2.4,3.6,3.8,2.8,3.6,2.22222222222222,3.77777777777778,2,1,mixed
174,1,1,4,4,1.8,1.2,2,1.2,5.4,4,4,3.6,2.66666666666667,4,2,2,same-gender female
175,2,3,4,4,2.2,1.6,2.2,1.6,3.6,3.6,2.8,2.8,2.77777777777778,2.33333333333333,2,1,mixed
176,2,2,4,4,1.2,1.8,1.8,1.6,4.6,4,2.6,3,2.88888888888889,2.55555555555556,2,2,same-gender female
177,2,1,5,4,1.4,2.4,2,2,3.8,3.4,4,3,3.44444444444444,2,1,2,mixed
178,3,1,3,3,2.2,1.4,2.2,2,4.8,3.6,4.4,3,3.33333333333333,2.11111111111111,1,1,same-gender male
179,3,3,4,4,2.4,1.6,1.8,2.6,2.8,4.2,3.2,3,4.11111111111111,2.44444444444444,1,1,same-gender male
180,2,2,4,4,1.4,1.4,1.6,1.6,4,4,2.6,4,1.88888888888889,2.66666666666667,2,2,same-gender female
181,2,1,3,3,2.4,2.6,3,1.8,2.6,3,2.6,3,1.55555555555556,3.44444444444444,2,2,same-gender female
182,2,2,2,2,1,1.2,1.2,2,4.2,4.8,3.8,4.6,2,3.33333333333333,2,2,same-gender female
183,2,2,3,2,2,1.6,1.8,1.4,4.6,3.4,2.8,3.4,1.77777777777778,2.88888888888889,1,2,mixed
184,2,2,4,3,1.4,1.6,1.6,1.6,3.6,3.6,3.8,3,4.33333333333333,1.11111111111111,2,2,same-gender female
999,1,1,5,5,1.6,2,2.4,2.2,4.2,4.8,4.6,3.4,1,3.22222222222222,2,2,same-gender female
