dyad,partner,age,sex,native_language,closeness,pes,p_self,d_self,p_other,d_other,p_other_mot,d_other_mot
1,1,2,male,German,5,2.11111111111111,4.5,1.5,5.5,1.5,5.75,3.25
1,2,2,female,German,5,2,6,2.25,5.75,3,5,3.5
3,2,1,female,German,4,2.33333333333333,4,1,4.5,1,4.5,1
2,2,1,female,German,5,4.55555555555556,4.25,2.75,5.25,3.25,5.5,2.25
3,1,1,female,German,4,2.11111111111111,5.5,2,6.5,1,5.5,1.75
2,1,1,female,German,4,2.55555555555556,4.75,3,4.25,3.75,6,4
4,2,3,male,German,3,2.11111111111111,4,1.75,4.5,1.25,3.75,1.25
4,1,3,female,German,4,2.77777777777778,5.25,2.25,5.25,1,6,1
5,1,1,female,German,4,3.55555555555556,4.25,5,4.5,1.5,6.5,2.5
5,2,3,female,German,4,3.55555555555556,4.5,2.75,5.75,2.25,6.5,4.25
6,1,1,female,German,4,2.33333333333333,4.25,1.75,5,1.25,6.25,1.5
7,2,1,female,German,3,3.55555555555556,4.25,1.75,4.75,1.5,4.75,1
7,1,1,female,German,3,2.44444444444444,3.5,1.5,5.25,1.75,5.5,2.5
6,2,1,female,German,3,2.88888888888889,4.5,2.25,5.75,1.5,4.75,1.75
8,1,3,female,German,5,3.22222222222222,5.5,4.5,4,1.5,6.25,3.75
8,2,3,female,German,5,2.22222222222222,4.25,2,4.5,6.5,5.75,5.5
9,1,2,female,German,4,4.44444444444444,6,3,6.5,2.5,7,2.5
10,1,3,female,German,3,4.11111111111111,5.75,3,7,1.75,5.5,2.75
10,2,3,female,German,4,4,6,2.25,6.25,1.25,6,1
9,2,2,female,German,4,3.44444444444444,4,2.5,6.75,3.25,7,3.5
11,2,2,female,German,4,4.66666666666667,6.5,2.75,6.5,2,6.5,2
11,1,1,female,German,4,2.77777777777778,3,1,4.75,1,5.5,1
13,1,2,female,German,4,1.88888888888889,4.75,1.25,5.25,1,6,1
12,2,2,female,German,4,3.77777777777778,5.75,3.5,6,2.5,6,3.25
12,1,2,female,German,4,2.77777777777778,4,1.25,4.75,1.25,5,1.75
13,2,2,female,German,4,2.22222222222222,4.75,2.75,5.5,1.5,5.5,1.25
14,2,3,male,German,3,3.55555555555556,5,3.75,5.75,4.25,4,3.75
14,1,1,female,German,3,3.44444444444444,6,4.25,6,2.75,5.75,3
15,2,1,female,German,5,2.44444444444444,4,2,5.5,1.25,6.25,1.5
15,1,1,female,German,5,1.55555555555556,3.5,1.5,4.5,2.5,5.5,2.5
16,1,1,female,German,4,3.33333333333333,3.25,1.75,6,1.25,5.75,2
16,2,1,female,Other,4,2.55555555555556,3.5,3,3.5,3.75,5,4
17,1,1,female,Other,3,3.55555555555556,4.5,3.75,4.5,3.25,6.5,3.5
17,2,1,female,Other,3,4.55555555555556,5,1.25,6,3.75,6.25,4.5
20,2,1,male,German,5,4.33333333333333,6,2.75,7,2.5,5.75,2.5
20,1,1,male,German,4,2.22222222222222,5.25,3.25,4.25,2.5,5.75,2.25
300,1,1,female,Other,5,3.55555555555556,5,3,6.75,4.5,4.25,3.75
300,2,1,female,Other,5,5.55555555555556,4,5.25,3.75,4,4.75,4
18,1,3,female,German,5,2.77777777777778,6,1,6,3.25,6.25,3.5
18,2,3,female,German,5,4.11111111111111,4.25,4.25,5,1.75,5.75,2.25
21,2,1,female,German,5,1.88888888888889,5.75,3.5,5.75,2.25,5.75,2
21,1,1,female,German,4,2.33333333333333,3.75,1.25,4.5,1,4.25,1.25
19,2,2,female,German,5,3.44444444444444,4,4.5,4.5,5,4.5,5
19,1,2,female,German,4,3.55555555555556,4.75,1.75,4.75,1,6.25,1.25
22,1,3,male,German,4,2.55555555555556,4,1.25,5.25,2.75,5.75,3.5
