dyad,partner,age,sex,native_language,closeness,pes,p_self,d_self,p_other,d_other
74,2,3,female,German,5,3.55555555555556,3.2,3.4,4.4,3.2
75,2,2,female,German,4,4,3.6,1.8,3.2,1.2
75,1,3,female,Other,4,2.11111111111111,3.2,1.6,4.4,1.6
76,2,1,female,German,4,4.77777777777778,3.6,1.4,3.2,1
76,1,1,female,German,4,3,3.6,2,3.2,3.4
77,2,3,male,German,4,1.88888888888889,3.8,1.2,4,1.4
77,1,3,female,German,5,2.22222222222222,5.2,2.4,5.6,2.4
78,1,3,male,German,4,1.88888888888889,3.2,2.2,3.6,2.2
78,2,3,female,German,5,1.88888888888889,2.6,1.8,3,1.4
79,2,3,female,German,5,5.22222222222222,3.2,2.6,3.6,2
79,1,3,male,German,5,4.77777777777778,4.4,2.6,3,1.8
80,2,1,female,German,5,2.66666666666667,3.8,1.6,4.2,1.8
80,1,1,male,German,5,2,4.8,2.8,4,3
81,2,2,male,German,4,4.22222222222222,3,2.4,2.6,2.4
81,1,2,male,German,4,4.44444444444444,2.8,2.8,2.8,3.2
82,2,3,female,German,3,4,3.6,2.8,3.8,2.4
82,1,3,male,German,3,4,3.6,1.8,3.8,2.6
83,2,2,male,German,4,2.88888888888889,3.6,1.8,4,1.8
83,1,2,female,German,4,4.22222222222222,4.2,2,4.2,1.4
84,1,3,female,German,4,4.11111111111111,3,1.6,3.4,1.2
84,2,3,female,German,4,1.66666666666667,3,1.4,3,1.2
85,1,3,male,German,4,3.11111111111111,2.8,2.8,3.8,2.4
85,2,3,female,German,5,1.77777777777778,3.2,2,3,1.4
86,2,2,female,German,3,3.88888888888889,3.6,2.6,4.4,2
86,1,2,female,German,3,2.33333333333333,4,1.4,3.8,1.2
87,2,3,female,German,4,3.22222222222222,3,1.6,3.6,1.4
87,1,3,female,German,4,5.33333333333333,3.6,3,3.6,2.8
88,2,3,female,German,4,3.44444444444444,3.6,1.2,4.8,1.2
88,1,3,female,German,4,2,2.4,1.8,2.8,1.8
89,2,2,female,German,4,3.44444444444444,3.2,2,3.2,1.4
89,1,3,female,German,5,3.55555555555556,2.6,1.6,3,1.6
90,2,2,female,German,5,3.11111111111111,3.4,1.8,4.4,2.6
90,1,3,female,German,5,5.33333333333333,3.6,2.4,4,2.4
91,1,1,female,German,5,2.88888888888889,3.2,2.8,2.8,2.2
91,2,2,male,German,5,3.33333333333333,3.4,2,3.8,2.2
92,2,2,male,German,4,5.11111111111111,4.8,2.4,3.2,2.6
92,1,2,male,German,4,3.33333333333333,3.6,2.4,4,2.6
93,2,2,female,German,3,4.66666666666667,4.4,2.2,2.4,1.4
93,1,2,female,German,3,2.77777777777778,3,2.2,3.2,2
94,1,2,female,German,4,3.44444444444444,3.6,1,4.2,1.2
94,2,1,female,German,4,3.55555555555556,5,2.4,4.2,1.4
95,2,3,female,German,4,3,3.4,1.8,3.6,2.8
95,1,3,female,German,4,1.88888888888889,2.2,1.4,3.8,1.8
96,1,3,female,German,4,3.44444444444444,3,2.4,3,2.4
96,2,3,female,German,4,2.77777777777778,3,2.6,3,3.2
97,2,1,female,German,3,2.88888888888889,2.4,1,3.4,1
97,1,1,male,German,3,3.66666666666667,3.4,1.6,3.6,1.4
98,1,3,male,German,4,1.66666666666667,3.2,2.8,3.4,2.6
98,2,3,male,German,4,2.11111111111111,3.2,2,2.8,1.4
99,1,2,female,German,4,4.33333333333333,2.6,2.4,4.4,1.8
99,2,2,female,German,4,2,3.6,1.2,3.4,1
100,1,3,female,German,5,2,2.6,2.4,3.8,1.8
100,2,3,male,German,5,3.33333333333333,4.2,2.4,4.4,2.6
102,2,3,male,German,5,2,3.8,1.4,3.8,1.4
102,1,3,female,German,5,1.77777777777778,5,2,3.2,1.4
103,2,1,female,German,4,4.88888888888889,4.4,3.4,4.2,2
103,1,1,female,German,4,4.77777777777778,4.2,1.4,4.6,1.4
104,2,3,male,German,4,3.88888888888889,3.4,2.2,3.4,2.2
104,1,3,female,German,5,3.11111111111111,3.6,1.8,4,1.6
105,1,3,male,German,4,4.77777777777778,4.2,2.6,3,4.2
105,2,3,female,German,5,4.11111111111111,3.8,2.6,4.2,1.6
106,2,1,male,German,5,1.66666666666667,3.2,2,4.4,1.4
106,1,1,female,German,4,2.33333333333333,4,1.2,4.2,1.4
107,2,3,male,German,5,2.66666666666667,3.4,1.6,3.6,1.2
107,1,3,female,German,5,1.88888888888889,3,2.2,2.6,2.4
108,2,2,male,German,3,3.66666666666667,3.2,2.8,3.6,2.6
108,1,2,female,German,3,2.66666666666667,3.4,3,3.6,3.2
109,2,2,male,German,5,2,4.4,2.4,4.4,2.4
109,1,2,female,German,5,2.55555555555556,3.4,2,3.8,2
110,2,2,male,German,5,4.33333333333333,3.4,3,4.4,2.4
110,1,1,female,German,5,3.11111111111111,3.6,1.6,5.2,1.6
111,1,2,female,German,3,4.11111111111111,2.4,2,2.2,2
111,2,3,female,German,4,3.66666666666667,3,2,3.6,2.6
112,1,3,male,German,4,2.66666666666667,3.4,2.6,2.4,2.2
113,2,3,male,German,5,1.66666666666667,3.4,1.2,3.6,1.4
113,1,3,male,German,5,2.44444444444444,2.8,1.6,3.6,1.2
112,2,3,male,German,4,3.44444444444444,3.4,1.4,4,1.8
115,1,3,male,German,3,4,3,2.2,2.8,1.8
115,2,3,male,German,3,5.11111111111111,4.2,3,3.2,3.6
114,1,3,female,German,5,3.88888888888889,4,1.8,2.2,1.6
116,2,3,female,German,4,4.55555555555556,3,2.2,4,1.6
116,1,3,female,German,4,2.11111111111111,3.2,2.2,3.6,1.8
114,2,3,male,Other,5,3.33333333333333,3.4,1.8,3.6,1.8
117,1,3,male,German,5,3.33333333333333,3.8,1.4,3.8,2.8
117,2,2,female,German,5,3.66666666666667,3.8,1.2,3.8,1.2
119,2,3,female,German,5,4.66666666666667,3.2,1.6,3,1.2
119,1,1,male,German,3,4.55555555555556,2.6,2.2,3.4,3.4
120,1,1,female,German,3,3,3.2,1.8,3.4,1.4
120,2,2,female,German,3,3,4.4,1.2,4,1
121,1,1,male,German,4,3.66666666666667,3.8,3.2,3.6,3.6
121,2,1,male,German,4,3.55555555555556,3.2,3.6,3,3.8
122,2,1,male,German,5,4.88888888888889,3,2.2,3.8,2.4
123,1,2,female,German,5,1.66666666666667,4.4,2.2,4.8,2.8
122,1,1,female,German,5,3.11111111111111,3.4,2.4,3.8,2.4
123,2,2,female,German,5,3.44444444444444,3.2,2,3.2,1.6
124,1,2,female,German,5,2.77777777777778,3.4,2.2,5,2
124,2,3,female,German,5,2.33333333333333,3,1.8,4.6,2.2
125,1,3,female,German,4,2.44444444444444,3.2,1.4,4.6,1.6
125,2,3,female,German,5,1.22222222222222,3.2,1.4,3.8,1.2
126,2,3,female,German,5,3.55555555555556,3.8,2.2,3.6,2.2
127,1,2,male,German,3,3,4,1.6,3.6,1.8
127,2,2,male,German,3,3.33333333333333,3.4,1.8,4.4,1.8
126,1,3,male,German,5,3.44444444444444,3,2.2,3.4,2.4
129,2,1,female,German,4,2.66666666666667,4,2.6,2.4,2
128,1,1,male,German,4,2.55555555555556,3.4,1.4,4,1
128,2,1,female,German,4,1.66666666666667,2.8,1.8,3.4,1.8
129,1,1,male,German,4,3.88888888888889,4,2.4,4.8,2.2
130,1,3,female,German,5,4,3,2.6,3.4,3
130,2,3,female,German,5,3.22222222222222,3,1.8,2.8,3
131,2,1,female,Other,3,4.33333333333333,3.8,1.8,4.2,1.8
131,1,2,female,German,3,1.88888888888889,3.2,1.4,3.8,1.4
133,1,1,male,German,4,3.11111111111111,4.2,1.4,4,1.2
133,2,1,male,Other,5,3.88888888888889,4.6,2,3.6,2
132,2,3,male,German,4,4,4,3,4,3
132,1,3,male,German,4,2.77777777777778,3.6,2.2,3.6,2.2
134,1,3,female,German,3,3.66666666666667,3.4,2.2,3.4,2
134,2,3,female,German,4,3.22222222222222,2.8,2,3.4,1.2
136,1,2,female,German,5,2.66666666666667,3,2.2,3,1.2
136,2,2,male,German,5,3.66666666666667,2,2,3,1.6
140,1,1,female,German,5,4.33333333333333,5.6,2,6,1.4
140,2,2,female,German,5,2.66666666666667,3,1.8,3.2,1.6
142,1,3,male,German,5,2.55555555555556,4.2,2.4,4.2,1.8
142,2,3,female,German,5,2.88888888888889,4.4,2.6,4.2,1.4
143,2,3,female,German,5,4.44444444444444,3.4,1.8,4.4,2
143,1,3,male,German,5,2.66666666666667,3.8,1.6,4.4,1.4
144,2,2,male,Other,5,2.77777777777778,3.6,2,5.6,1.2
144,1,1,female,Other,5,3.77777777777778,4,1.4,3,1.8
145,1,1,male,German,3,2.22222222222222,3.4,2.2,3.4,2.8
145,2,3,male,German,3,3.66666666666667,3.4,1.8,4,2
141,1,2,male,German,3,3.66666666666667,3.6,2.6,3.6,1.2
141,2,2,male,Other,5,4.33333333333333,3.4,2.6,3.6,2.6
147,1,3,female,German,5,3.11111111111111,3.4,2.4,3.6,1.8
147,2,3,female,German,4,3,3,2,3.4,1.6
146,1,2,female,German,4,4.88888888888889,3.6,2.6,4,3.2
146,2,2,male,German,4,3.66666666666667,4,2.6,4.4,2.8
148,1,3,female,German,4,4.66666666666667,3.6,3,4.2,3
148,2,3,male,German,4,3.33333333333333,3.2,2,3.2,1.4
150,2,3,female,German,4,4.55555555555556,4.8,2.6,4.6,1.6
150,1,3,female,German,4,2.33333333333333,3.8,1.4,4.4,1
153,2,2,female,German,4,3.66666666666667,3,3.2,3.4,2
153,1,2,female,German,4,3.55555555555556,3.2,2,4.2,2
154,2,3,male,German,3,4.66666666666667,5.2,3.8,4.4,2.4
154,1,3,male,German,2,4.66666666666667,3.4,2.4,3,2.8
155,1,1,female,Other,4,3.77777777777778,3,2.6,4.4,1.8
155,2,1,female,Other,4,2,2.6,1.8,4,2.8
157,2,1,female,German,4,2.44444444444444,3.6,2,4,1.6
157,1,1,female,German,5,2.88888888888889,3.4,1.4,4,1
156,1,1,female,German,3,3.55555555555556,3.8,2.2,4,1.8
156,2,1,female,German,3,2.66666666666667,4,2.4,4.2,2.4
158,1,3,female,German,5,2,2.4,1.2,3.8,1.2
158,2,3,male,German,3,3.11111111111111,3,3,3.2,3
159,2,1,male,German,5,4,3.2,2.2,3.4,2.8
159,1,1,male,German,5,5.22222222222222,2.4,1.8,1.6,1.4
160,1,2,female,German,5,2.22222222222222,2.2,1.4,2.6,1
160,2,2,male,German,4,3.11111111111111,2.8,2.6,3.2,3
161,2,2,female,German,5,3.55555555555556,4,2.4,5,3.4
161,1,2,female,German,4,3.33333333333333,3.4,2,3.4,1.6
162,1,1,female,German,4,3.55555555555556,2.2,2.8,3.2,2.8
163,2,1,male,German,4,2.33333333333333,3.2,2.2,3,2.2
162,2,1,female,German,5,2.77777777777778,4,1.8,3.8,2.4
163,1,1,male,German,3,4.44444444444444,3.8,2,3.6,1.8
165,1,1,female,German,4,2.44444444444444,3.4,3,4.2,2
165,2,1,female,German,4,3.33333333333333,3.6,2,4,1.8
166,2,2,female,German,3,2.55555555555556,4,2.2,4.4,2.4
166,1,1,female,German,3,3.33333333333333,4.6,2.8,4.2,2.8
164,2,1,female,German,3,4.66666666666667,3.4,2.2,4.4,2.2
164,1,2,female,German,3,4.33333333333333,4,2.8,3.4,1.8
167,1,1,female,German,5,1.66666666666667,3,1.8,3,1.8
167,2,1,female,German,5,2.88888888888889,2.2,1.2,4,1.2
170,2,1,female,German,3,2.22222222222222,3.8,1.2,4.2,1.2
170,1,1,female,German,3,3.33333333333333,2.4,3,4,3
168,2,1,female,German,4,3,3.8,3.6,4,3.2
169,1,1,female,Other,3,2.55555555555556,3.8,1.8,4.2,2.6
168,1,1,female,German,4,4.44444444444444,4,3.4,4.4,3.6
169,2,1,female,German,3,4.66666666666667,3.4,2.8,4,1.4
173,2,1,male,German,4,2.55555555555556,2.4,1.4,2.4,1.4
172,1,1,male,German,3,2.66666666666667,2.8,2.6,3.6,1.6
171,2,1,female,German,4,2,3.4,3.4,4.8,2.6
172,2,1,male,German,4,2.44444444444444,2.8,2.2,3.6,2.4
173,1,1,female,German,3,2.11111111111111,2.8,1.6,2.8,2.4
171,1,1,female,German,4,3.33333333333333,3.8,3,4.2,3.2
176,1,1,male,German,1,4.11111111111111,4.4,3,4.2,2.2
176,2,1,male,Other,2,3.44444444444444,4.4,2.8,3.2,2.6
174,1,1,female,German,4,3.55555555555556,4,1.4,3.6,1.2
174,2,1,male,German,4,1.33333333333333,4.8,2,4.8,1.8
177,1,2,male,Other,4,2.88888888888889,4.4,2,5.6,2.2
177,2,2,male,German,4,5,4.4,3.2,3.4,2.4
175,2,1,female,German,4,3.88888888888889,4,2,4.4,1.8
175,1,1,male,German,5,3.55555555555556,4.2,3.2,4.2,2
180,1,1,male,German,5,3.77777777777778,4,3,3.2,3.2
180,2,1,male,German,4,4,3.2,2.4,2.8,1.8
179,2,1,female,German,3,2.33333333333333,4.4,2.2,4.4,1.6
179,1,2,male,German,3,3.22222222222222,3.6,2.6,4.4,3.2
182,2,3,male,German,4,2.33333333333333,3.4,2.6,3.8,2.2
182,1,3,male,Other,4,4.66666666666667,3.6,2.6,4.4,1.6
181,2,1,female,German,5,4.44444444444444,3.6,1.4,4.6,3
178,1,2,male,German,5,3.22222222222222,3.8,1.6,4,1.6
181,1,1,male,German,5,3.11111111111111,3.2,2,6,1.8
178,2,2,female,German,4,3.44444444444444,3,1.2,4.2,1
184,2,2,male,German,4,2.11111111111111,3.4,2.2,3.4,1
184,1,2,male,German,4,4,3.4,2.4,3,1.8
185,2,1,male,German,3,3.44444444444444,2.8,2.2,4.6,2
185,1,1,female,German,4,3.22222222222222,3.4,2.4,4,1.2
187,2,1,female,German,3,3,3.8,1.8,4,1.2
187,1,1,female,German,3,1.11111111111111,3.4,1.4,4.6,1
188,1,2,female,German,3,1.88888888888889,3.8,1.8,3.8,1.8
188,2,1,female,German,4,3.55555555555556,2.6,1.6,4,2
186,1,1,female,German,3,3.55555555555556,3.8,1.2,4.4,1.2
186,2,1,female,German,3,1.11111111111111,3.2,2.4,4.4,1.4
189,1,1,female,German,3,1,3.4,1.4,3.4,2
189,2,1,female,German,3,2.55555555555556,4.4,2.4,4.4,1
192,2,1,male,German,3,4.88888888888889,3.2,2.8,3.2,2
192,1,2,male,German,4,1.88888888888889,3.2,2.2,3,2.8
190,1,1,male,German,4,3.66666666666667,4.2,1.6,4.2,2.2
193,2,1,male,German,5,3.66666666666667,3.6,2.2,3.6,1.6
190,2,1,male,German,4,3.55555555555556,4.2,2.6,3.8,2.4
193,1,2,female,German,5,2.44444444444444,3.4,1.6,4.4,1.6
191,1,1,male,German,3,3.11111111111111,3,2.4,4.6,1
191,2,1,male,German,3,1.66666666666667,2,1.4,4,1.4
194,1,1,male,German,5,1.33333333333333,2.8,1.2,3.2,1.2
194,2,1,female,German,5,2.11111111111111,3.8,1.8,4.2,1.2
197,1,1,female,German,3,2.33333333333333,3.4,2.4,4,2.2
197,2,1,female,German,3,3.55555555555556,3.4,2.4,3.8,2.4
196,2,1,female,German,3,2.11111111111111,2,2,3.2,1.8
196,1,1,female,German,3,2.22222222222222,2.6,2,3.8,2
199,1,2,female,German,5,2.55555555555556,3.6,3,3.4,2.8
199,2,2,female,German,5,2.66666666666667,2.6,1.8,3.8,1.4
195,1,1,female,German,4,3.44444444444444,3.6,2,3.6,3
195,2,1,male,German,3,2.77777777777778,3.6,2.2,3.6,2.8
198,2,1,male,German,4,2.88888888888889,3.4,3.8,3.4,3.6
198,1,1,male,German,4,2.88888888888889,3.8,2,3.6,3.2
200,1,1,female,German,5,2.88888888888889,3.8,3.2,3.6,1.6
200,2,1,female,German,5,2.11111111111111,3.4,1.4,4.4,3.2
