dyad,partner,age,sex,native_language,closeness,pes,p_self,d_self,p_other,d_other
1,2,2,male,German,4,2.44444444444444,3.8,2,3.6,2.2
1,1,2,female,Other,4,3.55555555555556,3.4,1.4,4,1.2
2,1,3,female,German,4,4.11111111111111,3.2,2,3.4,2
2,2,3,female,German,4,2.88888888888889,3.2,2.2,3.2,2.4
9,1,3,female,German,5,3.66666666666667,4.2,2,4,1.8
9,2,3,male,German,5,1.77777777777778,3,1.6,3.6,1.8
10,2,2,female,German,3,3.55555555555556,3.6,2.2,4,4
10,1,2,female,German,3,4.22222222222222,3.4,2.4,3.8,2.2
3,2,3,female,German,5,3.22222222222222,4.4,3,4,2.2
3,1,3,female,Other,4,3.55555555555556,3.6,2,4,1.8
11,2,1,male,Other,5,3.11111111111111,3,1.4,4.6,1.2
11,1,1,female,German,4,2.44444444444444,4.2,2.8,4.8,1.2
4,1,3,female,German,5,5.77777777777778,3,3.6,4,5
4,2,3,female,German,5,3.44444444444444,3,2.6,3.2,2.8
5,1,2,female,German,5,3,3.6,3,3.4,3.4
5,2,2,male,German,1,4.33333333333333,3.4,2.2,3.6,3.6
12,2,2,female,German,5,3.55555555555556,3,2.6,4.2,2.2
12,1,2,female,German,5,4.88888888888889,3.4,2,3.8,1.6
13,2,2,male,German,5,3.22222222222222,3.4,2.2,3.8,2
13,1,2,female,German,5,3.22222222222222,3,2.6,3.8,2
7,1,2,female,German,5,3,3.8,2.8,3.2,2.2
7,2,2,male,German,1,4.77777777777778,3,2.6,2.2,1.8
15,1,2,female,German,3,4.33333333333333,3.8,1.8,3.2,1.6
15,2,2,female,German,3,2.77777777777778,2.6,2.4,3,2
14,2,2,male,German,4,1,4.2,2,3.4,2
14,1,2,male,German,4,4.33333333333333,3.6,3.4,2,1.8
16,1,1,female,German,4,2.44444444444444,3.2,2.2,3.2,1.4
16,2,1,female,German,4,2.33333333333333,3.4,1.6,3.4,1.6
17,2,2,male,German,3,3.66666666666667,4,2.4,3.2,1.8
17,1,2,male,German,3,2.66666666666667,3.2,1.8,3.4,1.2
8,1,2,female,German,4,4,4.2,2.8,4.2,2.6
8,2,3,male,German,4,1.66666666666667,3.4,1.8,4.2,1.6
19,1,1,male,German,3,3.88888888888889,3.8,2.6,3.8,1.8
19,2,1,male,German,3,2.33333333333333,3,1.6,3.5,1.66666666666667
18,1,1,female,German,3,2.22222222222222,3,1.4,3.4,1.2
18,2,1,female,Other,3,2.55555555555556,3,1.4,3.2,1.2
20,2,1,female,German,2,3.22222222222222,3,2,3.2,1.6
20,1,3,male,German,1,2.44444444444444,3.8,2.6,3,2
22,1,2,male,German,5,3.11111111111111,3.6,2.6,3.2,2.8
22,2,1,female,German,5,1.88888888888889,3.4,1.8,3.8,1.8
21,2,2,male,German,5,3,2.8,1.8,3.6,2.4
21,1,2,female,German,5,5,4,2,4.6,1.4
23,1,3,female,German,4,3.66666666666667,3.4,2.2,3.2,2.8
24,1,3,male,German,4,3.44444444444444,3,2,3.6,2
23,2,3,male,German,4,4.11111111111111,3.6,2.6,3.6,2.8
24,2,,female,German,4,1.66666666666667,3.2,2.6,3.2,2.4
25,1,3,female,German,5,2.88888888888889,2.8,2.2,3,1.8
25,2,3,female,German,5,2.55555555555556,3,2,3.2,1.8
28,1,2,male,German,4,3.22222222222222,3.4,3.6,2.8,2.8
28,2,2,male,German,3,2.55555555555556,3.2,1.8,3.2,2
29,2,3,male,German,5,5.66666666666667,3.6,2,5,1.6
29,1,2,male,German,4,4.33333333333333,4.6,2,5.2,1.8
26,2,2,female,German,4,5.11111111111111,4,3.8,4.2,4.6
26,1,2,female,German,5,3.33333333333333,3.2,2,4,1.2
32,2,3,female,German,5,4.33333333333333,3.4,2,3,2
32,1,1,male,German,4,4.33333333333333,2.8,3.2,5,3.2
31,1,2,female,German,5,4.33333333333333,3.4,3.2,3.8,3.4
31,2,3,female,German,5,3,3,2.4,3.4,2.2
33,2,2,female,German,3,3.33333333333333,3.6,2,4.2,1.8
33,1,2,female,German,4,1.33333333333333,2.6,1.8,4.4,2
34,1,3,female,German,3,3.88888888888889,3,2.6,3.33333333333333,3
34,2,3,female,Other,4,3.11111111111111,4,2,4.2,2
36,1,1,male,German,3,4.88888888888889,4.6,1.4,5,2.8
36,2,1,male,German,4,2.55555555555556,3,2,3.6,1.4
37,2,1,female,German,4,4.44444444444444,4.2,2.4,3.6,1.4
37,1,1,male,German,4,1.66666666666667,4.2,3.6,5,3.4
38,2,2,female,German,5,2.11111111111111,2,1,2.2,1.4
38,1,2,male,German,5,4.33333333333333,4.8,2.8,3.8,3
40,1,2,female,Other,4,4.11111111111111,3.2,2.4,3.2,2.4
40,2,3,male,German,1,3.77777777777778,3.2,3.8,3.8,3.2
41,1,3,male,German,5,1.11111111111111,4.4,2.4,4.2,2.2
41,2,3,female,German,5,4.11111111111111,4.2,2.4,4.8,2.4
42,1,1,female,German,5,2.66666666666667,4.2,2.4,4.8,3.2
42,2,3,female,German,4,3.55555555555556,3.2,3.4,3,2.8
43,2,1,male,German,4,3.11111111111111,4.2,3,4.4,3.6
43,1,1,male,German,4,2.55555555555556,4,3,3.6,2.6
45,1,1,female,German,5,3.66666666666667,4,1.4,4.8,1.4
45,2,3,female,German,5,3.44444444444444,3.4,2,4.2,1.8
47,1,3,male,German,4,1.44444444444444,3.2,2.4,4.4,2.6
47,2,3,female,German,5,2,3.8,1.2,3.8,1
49,1,1,female,German,4,3.22222222222222,3.6,2,3,1.8
48,1,2,male,German,4,2.66666666666667,4.4,2.4,4,2
49,2,2,female,German,3,3,3.8,2.8,4.4,2.4
48,2,1,male,German,4,2.66666666666667,3,2,3.6,2.2
50,1,2,male,Other,5,4.88888888888889,4,2,4.4,2
50,2,1,male,German,4,3.66666666666667,4,1.6,4,2
51,1,3,male,German,4,2.66666666666667,3.6,1.6,4.2,1.2
51,2,3,female,German,4,3.55555555555556,3.2,1.2,3.8,1.6
52,1,3,male,German,4,3.66666666666667,3.2,2.8,2.2,2.2
52,2,3,male,German,4,3.44444444444444,3.6,2.2,4.2,2
53,2,3,male,German,4,3.55555555555556,3.4,1.2,3.4,1.2
54,1,3,female,German,3,2.88888888888889,3.2,2,3.6,2.4
53,1,3,female,German,4,2.11111111111111,4,2.8,3,2
54,2,3,male,German,4,3,2.8,1.8,2.2,1.4
56,2,3,female,German,5,2.33333333333333,4,2,5,2.6
56,1,3,male,Other,4,3,4,3.6,3.8,2.8
55,2,2,male,German,4,4.22222222222222,3,2,4.2,1.6
55,1,1,male,German,4,2.33333333333333,3,1.4,3.6,1.4
57,2,3,male,Other,5,4.88888888888889,3,3,3.2,2.8
57,1,3,female,Other,5,2.66666666666667,4,3.4,4.6,2.8
59,1,2,male,German,4,3.22222222222222,4.6,2.2,4.2,1.6
59,2,1,female,German,5,3.55555555555556,3.6,2,4,3
60,2,1,male,German,5,3.44444444444444,3.6,3.2,4,3
60,1,1,female,German,4,3.55555555555556,3.6,1.8,4.2,1.6
58,1,2,female,German,2,4.44444444444444,4,2.6,3.6,4.2
58,2,2,male,German,3,3.11111111111111,4.4,3.6,5.2,3.8
61,2,2,female,German,4,2.22222222222222,3.6,2.8,4.4,2.4
61,1,3,female,German,5,2.88888888888889,3.2,2.4,4,1.6
62,2,3,female,German,4,4.88888888888889,4,2.2,3.6,3.2
62,1,2,female,German,4,4.33333333333333,2.8,2.8,3.8,2.4
63,1,3,male,German,4,4.55555555555556,2.8,3.4,3,2.2
63,2,3,female,German,5,2.22222222222222,2,2.2,3.6,3.2
64,2,2,male,Other,5,2,3.4,2.4,3.2,2.6
64,1,2,male,Other,4,2.88888888888889,3.2,3.2,3.4,3
66,2,3,male,Other,5,4.77777777777778,2.8,3.4,4.4,2.8
66,1,2,female,Other,5,3.33333333333333,3.4,1.6,3.8,2
67,2,1,female,Other,3,5.66666666666667,3.4,1.8,4.2,1.6
67,1,1,female,Other,4,4.33333333333333,2.8,1.4,4.4,1.4
68,2,1,female,Other,5,2,2.8,1.4,4.2,1
68,1,2,male,Other,5,2.11111111111111,4.4,2.8,4.8,2.6
69,2,1,male,German,5,3.88888888888889,3.8,3.8,4.8,4
69,1,1,male,German,5,3.88888888888889,3.6,2.2,3.8,1.8
70,2,3,female,German,4,5.11111111111111,3,2.8,3.2,3.4
70,1,3,male,German,5,2.44444444444444,3.2,2,2.8,2
71,2,1,male,German,4,3.33333333333333,3.8,2,3.4,1.4
71,1,1,female,German,4,2.11111111111111,3.2,2.4,3.4,1.6
72,1,1,male,German,4,3.22222222222222,3.8,2.4,3.8,3
72,2,2,male,German,4,3.77777777777778,3.6,2,4.4,2.2
73,2,1,female,German,3,3.22222222222222,4,1.6,3.4,1.6
73,1,1,male,German,4,3.88888888888889,5.2,3.8,4.4,2.8
74,1,2,female,German,5,3.88888888888889,3.2,1.4,3.6,1.2
