dyad,age_1,age_2,closeness_1,closeness_2,d_other_1,d_other_2,d_self_1,d_self_2,native_language_1,native_language_2,p_other_1,p_other_2,p_self_1,p_self_2,pes_1,pes_2,sex_1,sex_2,gender_comp
21,1,1,4,5,1,2.25,1.25,3.5,1,1,4.5,5.75,3.75,5.75,2.33333333333333,1.88888888888889,2,2,same-gender female
22,3,1,4,4,2.75,2.75,1.25,1.25,1,1,5.25,3.5,4,2.75,2.55555555555556,2.11111111111111,1,2,mixed
23,1,1,3,3,1.75,2.25,1.5,3,1,1,5.5,4.5,3.75,6.75,2,4.33333333333333,2,2,same-gender female
24,3,2,5,5,3.25,1.5,3.75,2.25,1,1,7,6.5,7,5.25,6.22222222222222,4.44444444444444,2,1,mixed
25,3,2,3,3,1.75,2,3.25,5.75,1,1,3.75,7,5,6.25,3.88888888888889,6.44444444444445,1,1,same-gender male
26,2,2,5,5,1.5,2.5,3.75,2,1,1,2.75,3.25,4.25,3,4.33333333333333,1.55555555555556,2,1,mixed
27,1,1,5,5,1.5,6.75,6,2,1,2,4.75,4.5,5.75,6.25,4.44444444444444,2.77777777777778,2,2,same-gender female
28,3,3,5,5,5,2.25,3.75,3.5,2,1,5.75,5,4.75,5,1.11111111111111,1.55555555555556,2,1,mixed
29,1,1,5,5,1,1.75,1.25,2,1,1,5.75,5.75,5.25,5.5,1.88888888888889,3.88888888888889,2,2,same-gender female
30,2,1,4,4,2,2.75,2.25,4.75,1,1,4.75,5.25,3.75,5.5,3.44444444444444,2.22222222222222,1,2,mixed
31,3,3,5,5,2,6,6.25,1.75,1,1,5.25,4.75,5.25,4.5,3.77777777777778,2.22222222222222,2,1,mixed
32,3,3,4,4,3,1.5,4.25,1.5,1,1,6.75,6.5,4.25,6.25,3.88888888888889,3,1,1,same-gender male
33,2,1,5,5,1,1.25,2.5,1.25,1,1,5.5,5.75,4.5,4.75,2.77777777777778,1.77777777777778,2,2,same-gender female
34,1,1,4,3,2.5,1.5,1.5,1.5,1,1,5,5.5,4.5,4.75,2,3.22222222222222,2,2,same-gender female
35,1,1,4,4,1.25,3.5,1.5,2,1,1,5.5,4.25,5,5.75,4.22222222222222,2.66666666666667,2,2,same-gender female
36,2,2,4,2,3.5,4,3.25,2.75,2,2,4.75,3,5,4.25,4.77777777777778,3.77777777777778,2,1,mixed
37,1,1,5,5,3.25,3.5,3.25,2.25,1,1,4.25,5.75,6,4.25,5.22222222222222,1.88888888888889,1,1,same-gender male
38,3,3,5,5,1,1.5,1,2.75,1,1,3.75,6,2.5,5.5,1,3.77777777777778,1,2,mixed
39,1,1,4,4,4.25,1.25,1.25,1.5,1,1,3,5.5,4.75,5.25,1.66666666666667,4,2,2,same-gender female
40,2,3,4,3,4.75,2.75,2,4.25,1,1,5.75,5,5.75,5.25,3.22222222222222,3.22222222222222,2,1,mixed
41,3,3,5,4,1,1.5,3.25,1.5,1,1,5.5,5,4.75,5,4.66666666666667,2,2,2,same-gender female
42,2,2,4,4,2.75,3,2,2.75,2,2,4.75,6,5.25,5,4.11111111111111,5,1,2,mixed
43,3,3,5,5,1,1,4,1,2,1,7,5,6,3.75,4.33333333333333,1.55555555555556,2,1,mixed
44,1,1,3,3,2.75,2.75,1.75,4.5,1,1,2,4,3.25,2.5,2.55555555555556,2,1,1,same-gender male
45,1,1,4,4,3,3.5,3.75,1.25,1,1,5.75,7,6.25,5,3.44444444444444,1.55555555555556,2,2,same-gender female
47,3,3,4,5,2.25,1.5,1.5,1.5,1,1,4.25,6.5,3,5.5,1.11111111111111,3.11111111111111,2,2,same-gender female
48,3,3,3,3,3.5,1,3.5,3.25,1,1,4.75,4.25,3.75,4.75,4,3.22222222222222,2,1,mixed
49,1,2,5,5,2.25,3.5,1.75,1.25,1,1,6,6.25,6.25,6,1.66666666666667,3.77777777777778,2,2,same-gender female
50,1,1,5,5,2.75,2.75,3,4,1,1,5.25,3.25,5,3.25,4,2.77777777777778,2,2,same-gender female
51,1,3,2,2,5,1.75,4,3,1,1,5.25,3.5,4.25,5.75,4.66666666666667,2.88888888888889,1,1,same-gender male
52,3,3,5,5,4,1.25,4.5,1,1,1,6,4.5,5,4.75,4.55555555555556,2.44444444444444,2,1,mixed
53,3,3,4,4,3.25,5.25,2.75,4.5,1,1,5.75,6,5.75,5,1,2.55555555555556,2,2,same-gender female
54,3,1,5,4,5,2.75,4.5,5.75,1,1,3.25,4.75,3.75,4.75,5.33333333333333,4.22222222222222,1,2,mixed
58,1,1,5,5,3,1.75,3,4,1,1,6.25,6.5,3.5,5.25,1.66666666666667,4.22222222222222,2,1,mixed
59,2,1,3,3,1.5,2.75,3,3.5,1,1,5,6.25,5,3.75,4,2.22222222222222,2,2,same-gender female
60,1,1,4,4,1.25,1,2.25,1.75,2,1,2.75,4.75,5.25,4.25,5.66666666666667,2.22222222222222,1,2,mixed
61,3,2,4,5,2,7,2.75,6.5,1,1,5.5,2,4.75,3,3.55555555555556,3,2,2,same-gender female
62,1,1,4,5,1.75,1,1.75,1.75,1,1,2.75,4.75,3,4.75,1.77777777777778,1.22222222222222,1,1,same-gender male
63,3,2,4,4,1.75,2,3.5,6,2,1,5.25,5,4.75,5.5,4.22222222222222,3.66666666666667,2,2,same-gender female
64,2,1,4,3,1,2,2.5,2.5,1,1,5.25,5.25,6,4,4.22222222222222,4.11111111111111,1,2,mixed
65,2,1,3,4,1,2.25,1.25,1.25,1,1,5,4.25,4,4.75,1.88888888888889,2.66666666666667,2,1,mixed
67,2,1,3,3,1.5,1.75,2,1.75,1,1,5.25,4.25,5,4.75,3.66666666666667,3.44444444444444,2,2,same-gender female
68,1,1,4,4,2.75,4.75,2.75,3,1,1,6.25,6.25,5.5,6.5,2.77777777777778,2.44444444444444,2,2,same-gender female
69,1,1,5,4,1.25,1.25,2.25,2,1,2,3.25,5.25,3.5,3.5,1.77777777777778,3.66666666666667,2,2,same-gender female
70,1,1,3,3,2,1,2,2.5,1,1,4.75,3,5,4.5,3.22222222222222,1.66666666666667,2,2,same-gender female
71,1,1,4,4,2,1,2.75,2,1,1,6,4.75,5,3.5,4.44444444444444,2.11111111111111,1,2,mixed
73,2,2,5,4,1.75,4.25,1.5,2.5,1,2,6,4.5,6.5,5.25,3,6.22222222222222,2,1,mixed
74,1,1,5,5,3,1.25,2.25,1.5,2,1,5.25,5.5,4.5,4.25,4.11111111111111,1.77777777777778,2,2,same-gender female
75,3,3,3,4,1,2,1,4.5,1,1,4,3.75,4,3,2.44444444444444,5.11111111111111,2,1,mixed
76,3,3,4,4,1,4.75,2.75,1.75,1,1,5.75,6.5,6.25,5.25,3.44444444444444,3.55555555555556,1,2,mixed
77,2,3,4,4,1,1.5,2.75,2.5,1,1,6,6,4.25,5.5,2.88888888888889,2,1,2,mixed
78,1,1,4,5,1,2.75,1,2,1,1,4.75,3.75,4,4,2.77777777777778,3.33333333333333,2,2,same-gender female
79,3,3,5,4,1,2.75,4.25,1.75,1,1,5.25,5,4.5,2.75,3.33333333333333,2.55555555555556,2,1,mixed
81,1,1,4,4,3.25,1.25,1.5,2.25,1,1,5,4.25,3.5,5,3,1.55555555555556,2,1,mixed
82,1,1,5,5,1.75,2.75,2,2.75,1,1,4.75,5.25,5.25,5.5,5,4.33333333333333,2,2,same-gender female
84,3,3,4,4,2.25,2.75,3,4.25,1,1,6,6.25,6.75,4.5,3.77777777777778,3.22222222222222,2,2,same-gender female
85,3,3,1,4,4,4,4,3.75,2,2,4,3.5,4.75,4,5,4.44444444444444,1,1,same-gender male
86,3,3,5,5,3.25,2,3.25,1.5,1,1,6.5,6.25,6,5,2.11111111111111,1.88888888888889,1,2,mixed
87,1,1,5,5,2,1.5,2.5,3.25,1,1,5,5.25,5,3.5,2.55555555555556,1.55555555555556,2,2,same-gender female
88,1,1,5,3,3.25,1,1.75,1,1,1,6,2.75,4.75,2,3.77777777777778,1.22222222222222,2,2,same-gender female
89,1,3,5,5,3.5,1,2.25,2.5,1,1,5,1.75,4.75,4,3.11111111111111,3.22222222222222,1,2,mixed
90,2,2,5,5,5.25,1.5,6.25,1.5,2,1,5.25,7,5.5,5.75,5.11111111111111,2.66666666666667,1,2,mixed
91,1,1,5,5,3,1.5,4.75,1.5,2,1,6.25,3.75,5.25,4,4.77777777777778,1,2,1,mixed
92,2,3,5,5,3.75,1,1.5,1,1,2,5,5.5,4.75,5.25,3.55555555555556,4.77777777777778,2,1,mixed
93,2,2,4,4,1.25,2.5,2.5,2.75,1,1,5.5,5.25,5,5.25,4.11111111111111,4.11111111111111,2,1,mixed
94,2,2,5,5,2,2.5,3.25,3,1,1,4.5,4.75,5.5,2.75,4.33333333333333,3.55555555555556,2,1,mixed
95,3,3,3,4,1.25,2,1.5,3.5,1,1,5,6.25,3,5.75,3.22222222222222,4.22222222222222,2,2,same-gender female
98,1,1,4,4,2,2.5,2.75,3.25,1,1,5.25,5.25,5.25,4.75,2.44444444444444,2.88888888888889,2,2,same-gender female
99,1,2,3,4,1.5,1.75,2.75,2.5,1,1,5.25,4.5,3.75,4.5,2.33333333333333,1.66666666666667,2,1,mixed
100,3,2,4,5,1.5,1.25,3.75,1.25,1,1,6,5.5,5.75,3.25,3.44444444444444,2.66666666666667,2,2,same-gender female
101,1,3,4,4,1.25,1.5,3.25,2.5,1,1,4.5,5.25,5.75,3.5,2.33333333333333,2.55555555555556,2,1,mixed
102,3,3,3,2,1,2,1.25,3,2,1,6.25,5.5,5.25,5.75,2.55555555555556,2.55555555555556,2,2,same-gender female
103,3,3,4,4,3.5,2,3.25,2.5,1,1,5.75,4.25,5,3.25,4,2.66666666666667,2,1,mixed
104,1,2,3,3,3,2.5,3.5,1.75,1,1,6,4.75,4.25,3.75,3.33333333333333,2.44444444444444,2,2,same-gender female
105,3,3,4,5,5.5,2,4,4.75,1,1,6.5,6,5.75,6,4.44444444444444,5.55555555555556,2,1,mixed
106,1,1,4,4,1.5,2,2,2,1,1,6,5,4.25,4.75,2.22222222222222,1.77777777777778,2,2,same-gender female
107,2,2,4,5,1.25,1,3.25,1.5,1,1,6,5.5,5,3.5,4,3.11111111111111,2,2,same-gender female
108,2,2,4,5,3.5,2,2.25,1,1,1,3.5,6,5.75,2,4.22222222222222,2,2,2,same-gender female
109,1,1,2,2,2.25,3,2,3,1,1,4.75,7,5.5,5,3.55555555555556,3,2,1,mixed
110,1,1,5,5,1,3,2.25,2,1,1,3.75,4.75,3,5.25,2.33333333333333,3.66666666666667,2,2,same-gender female
111,3,3,4,4,2.5,1.5,2,3.25,1,1,6,5.25,3.5,4.75,3.22222222222222,2,2,2,same-gender female
112,3,3,3,4,3,1.25,2,2,1,1,5.5,7,4.5,4.25,2.88888888888889,2.33333333333333,2,2,same-gender female
113,3,3,5,4,2,1.5,2.25,3.5,1,1,6,4.5,5.25,4.25,2.88888888888889,4.22222222222222,2,2,same-gender female
114,3,1,2,2,2.5,1.5,2.75,1.75,1,1,3,5,4,3.25,4.66666666666667,2.11111111111111,1,2,mixed
115,3,3,3,3,1,2.25,1.25,4.5,2,2,4.25,4.75,5,4.25,1,4.11111111111111,2,1,mixed
116,3,3,4,5,2.25,4,3.5,2.25,1,1,6.5,6,4,4.5,1.33333333333333,4.11111111111111,2,2,same-gender female
117,3,2,4,4,2.5,5.25,4,2,1,2,5.5,5.75,5.75,4.75,4.11111111111111,2.33333333333333,1,2,mixed
118,2,1,4,4,4,2.75,4.25,2.75,1,1,5.75,4.5,6,4.25,3.88888888888889,3.33333333333333,2,2,same-gender female
119,3,3,3,4,1,3.5,1,1.5,1,1,5,6,6,4.75,4,3,2,2,same-gender female
120,3,1,3,3,3.75,1.25,4,4.75,1,1,5,4.5,4.75,3.5,3.88888888888889,2.44444444444444,1,2,mixed
121,1,2,4,4,3.25,1,2.75,1.5,1,1,6.25,6,5.25,5,4,3.55555555555556,2,2,same-gender female
122,2,2,4,4,3.5,1.5,2.75,1,1,1,5.5,5.5,5.75,3.5,3.44444444444444,1,1,2,mixed
123,2,2,5,5,2,1.5,2.25,1.5,1,1,6,5,5.5,5.25,3.88888888888889,2.88888888888889,2,2,same-gender female
124,1,1,5,5,1.75,1.25,1.75,1.5,1,1,5.5,5.75,4.75,5,2.77777777777778,3,2,2,same-gender female
125,3,2,3,3,2,1.25,2,1.5,1,1,5.25,5,5.75,4.5,3.11111111111111,1.11111111111111,1,2,mixed
126,1,1,4,4,3,2.25,3.5,2,1,1,5.25,5.75,5,5.5,3.77777777777778,3.66666666666667,1,1,same-gender male
127,3,2,4,4,1,2.25,1.5,2.25,1,1,4.75,5.25,4.5,5,3.33333333333333,3.77777777777778,2,2,same-gender female
128,2,2,2,4,2.25,1,3.5,2.25,1,1,4.5,5.75,3.25,5.25,2.22222222222222,3.22222222222222,2,2,same-gender female
129,2,2,4,4,2.25,1.5,3.25,2.5,1,1,5.75,6.25,4,5.75,2.77777777777778,3.22222222222222,2,2,same-gender female
130,1,2,3,3,1.25,1.75,1.5,2,1,2,4.25,6.25,3.5,6.75,2.33333333333333,4.55555555555556,2,2,same-gender female
131,1,1,5,4,1,1.75,1.75,1.75,1,1,5.75,4.25,4.25,5.25,2.77777777777778,4.22222222222222,2,2,same-gender female
132,1,1,4,5,2.5,2,3.75,3,1,1,4.25,6,3,5.5,3.11111111111111,3.22222222222222,2,2,same-gender female
133,1,2,3,4,1.75,2.5,2.5,3.25,1,2,3.75,4,3.25,2,2.44444444444444,3.55555555555556,2,2,same-gender female
134,3,3,3,3,1,1.75,1,4.25,1,1,6.25,6,4.5,5,1.88888888888889,1.55555555555556,2,2,same-gender female
135,1,1,3,3,1,1.75,2,1.25,1,1,5.5,4.25,3.75,5.25,2.44444444444444,1.88888888888889,2,2,same-gender female
136,2,1,4,4,1.25,1,3.25,1,1,1,6.25,7,6.25,3.5,2.88888888888889,1.33333333333333,2,2,same-gender female
137,1,1,5,5,6.75,3.5,5,4,1,1,5.75,6.75,5.25,6.5,3.77777777777778,3.33333333333333,1,1,same-gender male
139,2,2,3,5,7,1.5,2.5,4,1,1,7,2.5,1,5.25,4.77777777777778,2.77777777777778,1,1,same-gender male
140,2,1,5,4,4,2,3,4.5,1,1,4.5,4.5,4.25,5.5,3.33333333333333,3.66666666666667,2,1,mixed
141,2,2,4,4,2.75,3.25,3.75,3.25,1,1,5.5,5.5,5.25,5.25,4.22222222222222,2.77777777777778,1,1,same-gender male
142,3,2,4,4,4.5,1.5,2,3,1,1,4,6.25,5.75,4.75,2.66666666666667,3.77777777777778,1,2,mixed
146,2,1,5,5,2.25,6,3.25,2.25,1,1,4.5,5,5,4.75,3.11111111111111,2.55555555555556,1,2,mixed
148,1,1,3,4,2,1.5,2.5,2.75,1,1,5.5,6.25,5.75,4,4.33333333333333,3,1,2,mixed
149,2,2,4,4,3,2.25,4.25,2.75,1,1,5,6,5.25,3.75,5,2.88888888888889,2,2,same-gender female
150,2,1,3,2,1,3.25,1,3,1,1,4.75,4.5,3.75,4.75,1.66666666666667,4,2,2,same-gender female
151,2,1,4,4,1.25,2.5,2.5,2.75,1,1,2.75,4.75,5.25,3.75,3.22222222222222,2,1,2,mixed
152,1,2,4,4,4,4,3.5,4.25,1,1,4.25,5,5.25,4.5,5,4,2,2,same-gender female
153,1,1,4,4,1.5,1.75,3.5,1.25,1,1,5.5,3.25,2.75,2.75,2.55555555555556,1.88888888888889,1,2,mixed
154,1,2,4,4,2,1,4.25,1.5,1,1,4.5,4,4.75,3.5,2.88888888888889,2,2,2,same-gender female
155,3,3,4,4,1,2.5,1.25,3,1,1,6.5,6.75,5.75,5.25,2,1.55555555555556,2,2,same-gender female
156,2,2,3,4,2,2.25,2.75,2,1,1,6,6.25,5.5,6,2.88888888888889,3.33333333333333,1,2,mixed
157,3,3,3,3,3.25,1,2.25,1,1,1,4,4.25,3.25,4.75,3.22222222222222,4.44444444444444,2,2,same-gender female
158,3,2,5,4,4,1,4.25,1.75,1,1,5.75,5,5.75,4.75,4.11111111111111,4,2,2,same-gender female
159,1,2,4,4,2.25,1.75,2.5,1.25,1,1,5.75,6.5,4.75,4.5,3,3.66666666666667,2,2,same-gender female
160,3,3,4,4,1.5,1,2.25,1.75,1,1,6,4.5,4.25,5.5,2.44444444444444,3,1,1,same-gender male
161,3,3,4,4,1.75,3,3,2.75,1,1,3.75,4.75,3.25,4.75,1,2.66666666666667,2,2,same-gender female
162,2,2,4,4,4.25,2.75,2,3.75,1,1,5,4.5,3.5,4.75,3.55555555555556,4,2,2,same-gender female
163,1,1,5,5,3,1,2,2.5,1,1,5.75,4.5,5.5,4.25,3,4.22222222222222,1,2,mixed
164,1,2,4,4,2.5,2.75,1.5,3,2,1,6,7,5.5,5.75,2.33333333333333,3.44444444444444,2,1,mixed
165,2,2,3,3,3.25,1.5,2.75,3.5,1,1,4.75,5.25,3.75,4.75,2.33333333333333,3.44444444444444,2,2,same-gender female
166,1,1,4,4,2.25,3.25,3.25,3.25,1,1,5,5.25,4.75,6,4.44444444444444,4,2,2,same-gender female
167,2,3,4,3,1.75,2,3,3.75,1,1,4.5,6,5.25,6,3.66666666666667,5.55555555555556,2,1,mixed
168,1,1,5,5,1.75,5.25,5.75,1.25,1,1,4.75,6.75,6.25,3,3.66666666666667,2.11111111111111,1,1,same-gender male
169,2,2,5,5,1.25,2.75,3.5,4,1,1,3.75,4.25,4,4,3.44444444444444,3.77777777777778,2,2,same-gender female
170,2,2,4,5,1,1,1.5,1,1,1,4.25,5.25,4,3.25,2.55555555555556,2.22222222222222,2,2,same-gender female
171,3,3,4,4,2.25,4.25,2.25,2.5,1,1,7,5.5,7,5,4.77777777777778,5.11111111111111,1,1,same-gender male
172,1,1,3,3,1,1.25,3.25,2.75,1,1,5.25,4.75,5.25,4.75,2.22222222222222,1.22222222222222,1,1,same-gender male
173,2,3,4,4,2.75,2,3.75,3.5,1,1,4,5.75,4.75,5.5,2.11111111111111,4.22222222222222,2,1,mixed
175,3,3,3,3,1.75,2.5,2,3,1,1,6.25,6,6,4.75,2.66666666666667,1.44444444444444,1,2,mixed
177,3,3,4,4,2.25,4.25,3.5,3.75,1,1,6,6,4.5,4.25,4.77777777777778,4.44444444444444,2,2,same-gender female
178,3,2,5,5,1.5,1.5,2.25,4.25,1,1,6,6.5,4.75,4,3.55555555555556,4.22222222222222,2,2,same-gender female
179,3,2,5,4,4.25,2.5,4.25,1.75,1,1,6,6.75,4.25,5.75,2.11111111111111,2.77777777777778,2,2,same-gender female
180,2,1,2,2,3.5,1.75,2.5,3.75,1,1,4.25,4.25,6,2.5,2.33333333333333,2.22222222222222,2,2,same-gender female
181,3,2,4,4,1.5,3,1.5,2.75,1,1,5.5,5.5,5,4.75,3.66666666666667,3.11111111111111,1,1,same-gender male
182,3,1,5,5,4,3.75,1.5,1.5,1,1,3,4.5,1.5,3.75,2.44444444444444,2.11111111111111,2,2,same-gender female
184,2,2,3,4,1,2.75,1.25,2.5,1,1,4.5,5,5.25,4,2.44444444444444,2.44444444444444,2,2,same-gender female
185,3,3,1,2,3.75,1.5,2.75,1.75,1,1,5,5.25,4.5,5.75,4,2.77777777777778,2,1,mixed
186,3,2,4,4,2.25,2.25,5.25,3.5,1,1,4.5,5,5,3,5.77777777777778,1.77777777777778,1,2,mixed
187,1,2,4,4,4.75,4.5,5.25,2.75,1,1,4.25,4,4,4.25,5,3.44444444444444,1,2,mixed
188,1,3,5,5,1,2.5,1,2.25,1,1,6,5.5,4.75,5.5,4,4,2,1,mixed
189,1,1,4,4,1.25,3.75,3,3.25,1,1,6,4.75,6.25,4.75,3,4.33333333333333,1,1,same-gender male
190,3,2,3,4,1.75,2,1.5,2.25,1,1,2.75,3,3,3,2.77777777777778,1.66666666666667,1,1,same-gender male
191,1,1,4,5,2,5.25,2.25,3.75,1,1,4.5,6,2.25,5.25,3.11111111111111,2.55555555555556,2,2,same-gender female
192,2,2,3,4,1.25,1.25,2.25,2.25,1,1,4.75,5.5,4.75,5.5,4.55555555555556,3.66666666666667,2,2,same-gender female
193,2,2,4,5,4.75,1.25,4.5,2.5,1,1,5.5,5.5,5.25,4.5,2.88888888888889,2.11111111111111,2,2,same-gender female
194,3,3,3,4,1,4.25,1,2,1,1,4.25,7,4.5,4,2,4.22222222222222,2,2,same-gender female
195,2,2,4,5,1,2.75,1.25,2.75,1,1,4.5,4.5,6.25,2.5,1.88888888888889,2,2,1,mixed
196,1,1,5,4,4,2.25,1.5,2,1,1,7,6.75,6.25,5.75,4.44444444444444,2.55555555555556,2,2,same-gender female
197,1,1,4,3,1,4.25,1.5,2.5,1,1,5.25,4.5,5.25,2.75,2,2.77777777777778,2,2,same-gender female
200,3,3,5,5,1.25,1.25,1.5,1.75,1,1,5.5,4.75,3.5,4,3,1.77777777777778,2,2,same-gender female
201,3,2,4,4,1.25,1.5,1.25,2.5,1,1,6,6,5,5,3.66666666666667,3.11111111111111,2,2,same-gender female
204,1,1,3,3,4.25,1.75,4.5,3,1,1,4.5,4,4,5.25,4,3,2,2,same-gender female
205,3,3,5,5,2.5,2.25,2,3.75,1,2,4.25,5.25,3.25,5.5,3,4.55555555555556,2,2,same-gender female
206,2,2,4,5,1,3.25,1,2.5,1,1,7,6,4,4.5,1.55555555555556,3.33333333333333,2,2,same-gender female
207,1,2,4,4,1.5,1,2,1.75,1,1,5,4.25,2.75,4,2.66666666666667,2,2,2,same-gender female
208,2,2,3,3,1.25,4,1.25,2,1,2,5.5,4,3.25,2,1.33333333333333,3.55555555555556,2,2,same-gender female
209,3,3,5,5,1.25,1,3.25,1,1,1,6,6,4.25,4,3.22222222222222,1.11111111111111,2,2,same-gender female
210,2,2,4,4,2,2.25,2,3.5,1,1,4,5.75,4,5.75,2.55555555555556,3.44444444444444,1,1,same-gender male
211,1,1,4,4,5.5,2.25,2.75,3.5,1,1,4,4.25,3.5,4,3.77777777777778,4.11111111111111,1,2,mixed
212,3,3,3,4,4,2,3.25,2.5,1,1,4,4.5,4.5,5,4.33333333333333,2.77777777777778,2,2,same-gender female
300,1,1,5,5,4.5,4,3,5.25,2,2,6.75,3.75,5,4,3.55555555555556,5.55555555555556,2,2,same-gender female
