dyad,age_1,age_2,closeness_1,closeness_2,d_other_1,d_other_2,d_self_1,d_self_2,native_language_1,native_language_2,p_other_1,p_other_2,p_self_1,p_self_2,pes_1,pes_2,sex_1,sex_2,gender_comp
1,2,2,5,5,1.5,3,1.5,2.25,1,1,5.5,5.75,4.5,6,2.11111111111111,2,1,2,mixed
2,1,1,4,5,3.75,3.25,3,2.75,1,1,4.25,5.25,4.75,4.25,2.55555555555556,4.55555555555556,2,2,same-gender female
3,1,1,4,4,1,1,2,1,1,1,6.5,4.5,5.5,4,2.11111111111111,2.33333333333333,2,2,same-gender female
4,3,3,4,3,1,1.25,2.25,1.75,1,1,5.25,4.5,5.25,4,2.77777777777778,2.11111111111111,2,1,mixed
5,1,3,4,4,1.5,2.25,5,2.75,1,1,4.5,5.75,4.25,4.5,3.55555555555556,3.55555555555556,2,2,same-gender female
6,1,1,4,3,1.25,1.5,1.75,2.25,1,1,5,5.75,4.25,4.5,2.33333333333333,2.88888888888889,2,2,same-gender female
7,1,1,3,3,1.75,1.5,1.5,1.75,1,1,5.25,4.75,3.5,4.25,2.44444444444444,3.55555555555556,2,2,same-gender female
8,3,3,5,5,1.5,6.5,4.5,2,1,1,4,4.5,5.5,4.25,3.22222222222222,2.22222222222222,2,2,same-gender female
9,2,2,4,4,2.5,3.25,3,2.5,1,1,6.5,6.75,6,4,4.44444444444444,3.44444444444444,2,2,same-gender female
10,3,3,3,4,1.75,1.25,3,2.25,1,1,7,6.25,5.75,6,4.11111111111111,4,2,2,same-gender female
11,1,2,4,4,1,2,1,2.75,1,1,4.75,6.5,3,6.5,2.77777777777778,4.66666666666667,2,2,same-gender female
12,2,2,4,4,1.25,2.5,1.25,3.5,1,1,4.75,6,4,5.75,2.77777777777778,3.77777777777778,2,2,same-gender female
13,2,2,4,4,1,1.5,1.25,2.75,1,1,5.25,5.5,4.75,4.75,1.88888888888889,2.22222222222222,2,2,same-gender female
14,1,3,3,3,2.75,4.25,4.25,3.75,1,1,6,5.75,6,5,3.44444444444444,3.55555555555556,2,1,mixed
15,1,1,5,5,2.5,1.25,1.5,2,1,1,4.5,5.5,3.5,4,1.55555555555556,2.44444444444444,2,2,same-gender female
16,1,1,4,4,1.25,3.75,1.75,3,1,2,6,3.5,3.25,3.5,3.33333333333333,2.55555555555556,2,2,same-gender female
17,1,1,3,3,3.25,3.75,3.75,1.25,2,2,4.5,6,4.5,5,3.55555555555556,4.55555555555556,2,2,same-gender female
18,3,3,5,5,3.25,1.75,1,4.25,1,1,6,5,6,4.25,2.77777777777778,4.11111111111111,2,2,same-gender female
19,2,2,4,5,1,5,1.75,4.5,1,1,4.75,4.5,4.75,4,3.55555555555556,3.44444444444444,2,2,same-gender female
20,1,1,4,5,2.5,2.5,3.25,2.75,1,1,4.25,7,5.25,6,2.22222222222222,4.33333333333333,1,1,same-gender male
