dyad,partner,age,sex,closeness,pes,p_self,d_self,p_other,d_other
1,1,1,female,5,5.22222222222222,3.2,1.8,3.6,1.8
1,2,1,male,5,5.55555555555556,4.6,1.6,4,1.8
2,1,1,female,5,2.44444444444444,4.2,3,5.2,2.6
2,2,1,female,5,1.88888888888889,3.8,2.8,4.6,5
3,1,1,male,5,4.22222222222222,4.8,2,4.8,2.2
3,2,1,male,5,3.44444444444444,3.8,1.8,4.6,1.4
4,1,1,female,5,2.11111111111111,3.8,1.6,4,1.6
4,2,3,female,5,4,4.6,2.4,5,2
5,1,1,female,4,7,5.6,2.2,5.6,3
5,2,2,female,5,6.44444444444445,5.8,2.4,5.6,4.8
6,1,1,female,5,5,4.6,2,5.2,1.8
6,2,1,female,4,4.44444444444444,2.4,3.4,3,3.4
7,1,3,female,5,4.11111111111111,3.6,2.4,4,3.6
7,2,3,female,5,1.88888888888889,4.4,2.6,3.2,1.4
8,1,3,female,5,2.66666666666667,4.8,1.6,5.6,2.4
8,2,3,male,5,1.77777777777778,2.8,1.8,3,3
9,1,1,female,5,2.88888888888889,4.6,2.2,5.2,2.6
9,2,3,female,5,3.22222222222222,4.8,2.8,5.4,3.2
10,1,3,female,5,4.22222222222222,4,2.8,4,2.2
10,2,3,female,5,5.11111111111111,4.4,2.4,4.4,2.8
11,1,1,female,4,3.11111111111111,3.4,2.6,5.2,2.4
11,2,1,female,4,2.77777777777778,5.4,1.6,5.8,1.8
12,1,1,female,5,3.22222222222222,5,3,5.8,1.6
12,2,1,female,5,2.77777777777778,5.2,1.6,6,1
13,1,3,female,5,2,4,2,3.4,3
13,2,3,male,5,2.33333333333333,3.4,1,4.4,1.2
14,1,2,female,5,4.22222222222222,4.4,2.6,4.8,2
14,2,2,male,5,1.44444444444444,4.6,2.4,5,2.8
15,1,3,female,3,3.11111111111111,3.6,2,5,2.6
15,2,3,female,4,5.66666666666667,4.8,2.2,4.6,2.6
16,1,3,female,5,2.22222222222222,4.4,2,4.6,2
16,2,3,male,5,2.11111111111111,4.4,2,5,2
17,1,1,female,3,5.22222222222222,4.8,4.6,5.4,1.8
17,2,1,female,3,2.66666666666667,2.6,1.8,4.2,2
18,1,1,male,4,4.77777777777778,5.2,3,4,2.6
18,2,1,female,4,1.77777777777778,4.4,1.4,5,1.8
19,1,1,female,4,2,4.6,2.2,4.4,2
19,2,1,female,4,3.55555555555556,3.8,2.4,4.4,3.4
20,1,2,female,5,2.11111111111111,3.6,2.2,3.6,2.4
20,2,1,female,5,2.44444444444444,3.4,3.2,3,3.2
21,1,1,female,4,3.55555555555556,3.6,2.8,3.2,3
999,1,1,female,5,1,4.6,2.4,4.2,1.6
21,2,1,male,5,3,4.2,2.2,5,1.8
999,2,1,female,5,3.22222222222222,3.4,2.2,4.8,2
23,1,1,female,5,3.33333333333333,4.6,1.2,4.8,1.4
23,2,1,female,5,2.77777777777778,3,1.4,3,1.8
24,1,1,female,5,4.44444444444444,4.6,1.8,3.8,1.6
24,2,1,female,5,4.11111111111111,4.2,1.2,3.6,1.2
25,1,1,male,5,4.11111111111111,3.4,1.6,3.8,2
25,2,2,male,4,2.22222222222222,3.8,1.2,2.8,1.2
26,1,3,male,4,3.77777777777778,3.2,2.4,3.4,2.2
26,2,3,male,4,2.77777777777778,4.4,3,3.6,2.4
27,1,1,male,3,3,3,2.4,2.2,1.4
27,2,2,male,4,3.22222222222222,3.2,2.2,3.6,2
28,1,2,male,3,2.11111111111111,3.8,2.4,4.2,1.4
28,2,2,male,4,1.22222222222222,4,1.2,5.4,1
29,1,1,female,5,3.22222222222222,3.6,3,3.4,2.8
29,2,1,male,4,3.22222222222222,3.4,2.6,4,2
30,1,1,female,4,2.11111111111111,2.8,2.4,4.4,2.8
30,2,1,female,5,3.88888888888889,3.8,3.2,3.4,1.8
31,1,1,female,3,4.11111111111111,4.2,1.8,3.8,1.8
31,2,1,female,2,3.33333333333333,3,2,4,2
32,1,1,female,4,4.22222222222222,4,2.8,4,2.8
32,2,2,male,5,4.11111111111111,3.2,2.2,3.4,2.2
33,1,1,male,4,3.66666666666667,3.8,2.6,3.8,2.8
33,2,1,male,5,3,3.6,2.8,3.4,2.2
34,1,2,male,4,3.66666666666667,3.6,2.8,4.2,1.8
34,2,2,female,5,2.66666666666667,3.6,2,3.6,2.4
35,1,1,female,5,4.66666666666667,4.8,2.6,5,2.4
35,2,1,male,4,4,3.4,2.4,4.6,2
36,1,1,female,5,2.77777777777778,5,4.2,3.4,3.2
36,2,1,female,5,2.33333333333333,2.8,2.8,4,3
37,1,2,female,5,3.55555555555556,5,2.4,5.8,1.6
37,2,2,female,5,2.66666666666667,5.4,1.8,5.6,2
38,1,3,male,4,2.66666666666667,4.4,2,3,1.4
38,2,2,female,3,3.11111111111111,4.6,2.4,4.4,1.8
39,1,3,female,3,2.66666666666667,4.6,1.6,5.4,1.2
39,2,2,female,3,3.66666666666667,3.6,1.6,4.6,1.2
40,1,3,male,5,4.11111111111111,3.4,2,3.4,1.8
40,2,3,female,5,4.44444444444444,4.8,2,5,2.8
41,1,1,female,4,1.66666666666667,3.8,1.8,4.6,1.2
41,2,1,female,4,1.88888888888889,4.8,2.6,4,2.6
42,1,1,female,4,3.33333333333333,4.2,2,5.2,1.8
42,2,3,female,3,4.11111111111111,4.4,1.4,4.2,3.6
43,1,1,female,5,2.88888888888889,3.4,2.2,5,3.4
43,2,1,female,5,2,3.6,2.8,5,2.4
44,1,2,male,3,4.33333333333333,4.4,1.6,5.2,1.8
44,2,1,male,3,3.55555555555556,3.6,2.2,3.8,1.8
