dyad,age_1,age_2,closeness_1,closeness_2,d_other_1,d_other_2,d_self_1,d_self_2,native_language_1,native_language_2,p_other_1,p_other_2,p_self_1,p_self_2,pes_1,pes_2,sex_1,sex_2,gender_comp
54,3,3,3,4,2.4,1.4,2,1.8,1,1,3.6,2.2,3.2,2.8,2.88888888888889,3,2,1,mixed
55,1,2,4,4,1.4,1.6,1.4,2,1,1,3.6,4.2,3,3,2.33333333333333,4.22222222222222,1,1,same-gender male
56,3,3,4,5,2.8,2.6,3.6,2,2,1,3.8,5,4,4,3,2.33333333333333,1,2,mixed
57,3,3,5,5,2.8,2.8,3.4,3,2,2,4.6,3.2,4,3,2.66666666666667,4.88888888888889,2,1,mixed
58,2,2,2,3,4.2,3.8,2.6,3.6,1,1,3.6,5.2,4,4.4,4.44444444444444,3.11111111111111,2,1,mixed
59,2,1,4,5,1.6,3,2.2,2,1,1,4.2,4,4.6,3.6,3.22222222222222,3.55555555555556,1,2,mixed
60,1,1,4,5,1.6,3,1.8,3.2,1,1,4.2,4,3.6,3.6,3.55555555555556,3.44444444444444,2,1,mixed
61,3,2,5,4,1.6,2.4,2.4,2.8,1,1,4,4.4,3.2,3.6,2.88888888888889,2.22222222222222,2,2,same-gender female
62,2,3,4,4,2.4,3.2,2.8,2.2,1,1,3.8,3.6,2.8,4,4.33333333333333,4.88888888888889,2,2,same-gender female
63,3,3,4,5,2.2,3.2,3.4,2.2,1,1,3,3.6,2.8,2,4.55555555555556,2.22222222222222,1,2,mixed
64,2,2,4,5,3,2.6,3.2,2.4,2,2,3.4,3.2,3.2,3.4,2.88888888888889,2,1,1,same-gender male
66,2,3,5,5,2,2.8,1.6,3.4,2,2,3.8,4.4,3.4,2.8,3.33333333333333,4.77777777777778,2,1,mixed
67,1,1,4,3,1.4,1.6,1.4,1.8,2,2,4.4,4.2,2.8,3.4,4.33333333333333,5.66666666666667,2,2,same-gender female
68,2,1,5,5,2.6,1,2.8,1.4,2,2,4.8,4.2,4.4,2.8,2.11111111111111,2,1,2,mixed
